,Scores,BBox
128,0.8651032,"[[ 125.310936  992.5422  ]
 [ 143.2125    992.5422  ]
 [ 143.2125   1014.4219  ]
 [ 125.310936 1014.4219  ]]"
129,0.9635097,"[[ 196.91719  992.5422 ]
 [ 234.70938  992.5422 ]
 [ 234.70938 1012.4328 ]
 [ 196.91719 1012.4328 ]]"
130,1.0185037,"[[ 238.6875   992.5422 ]
 [ 288.41406  992.5422 ]
 [ 288.41406 1012.4328 ]
 [ 238.6875  1012.4328 ]]"
131,0.96931857,"[[ 399.80157  992.5422 ]
 [ 439.58282  992.5422 ]
 [ 439.58282 1012.4328 ]
 [ 399.80157 1012.4328 ]]"
132,0.9775332,"[[ 441.63034  993.7707 ]
 [ 490.6081   997.53815]
 [ 489.08704 1017.31177]
 [ 440.10928 1013.54425]]"
133,0.9704828,"[[ 143.2125  1014.4219 ]
 [ 182.99374 1014.4219 ]
 [ 182.99374 1036.3015 ]
 [ 143.2125  1036.3015 ]]"
134,1.0168413,"[[ 182.99374 1014.4219 ]
 [ 238.6875  1014.4219 ]
 [ 238.6875  1034.3125 ]
 [ 182.99374 1034.3125 ]]"
135,0.9447442,"[[ 314.27188 1014.4219 ]
 [ 348.08594 1014.4219 ]
 [ 348.08594 1034.3125 ]
 [ 314.27188 1034.3125 ]]"
136,0.88697916,"[[ 350.075  1014.4219]
 [ 375.9328 1014.4219]
 [ 375.9328 1036.3015]
 [ 350.075  1036.3015]]"
137,0.8741634,"[[ 377.92188 1014.4219 ]
 [ 409.7469  1014.4219 ]
 [ 409.7469  1034.3125 ]
 [ 377.92188 1034.3125 ]]"
138,0.90739167,"[[ 461.4625  1014.4219 ]
 [ 485.33124 1014.4219 ]
 [ 485.33124 1036.3015 ]
 [ 461.4625  1036.3015 ]]"
139,0.98383415,"[[  89.50781 1016.41095]
 [ 139.23438 1016.41095]
 [ 139.23438 1038.2906 ]
 [  89.50781 1038.2906 ]]"
140,0.8883288,"[[ 239.39095 1018.76385]
 [ 270.3912  1015.31934]
 [ 272.47733 1034.0941 ]
 [ 241.47704 1037.5387 ]]"
141,0.9847921,"[[ 270.83862 1014.8133 ]
 [ 313.8806  1018.7261 ]
 [ 312.00568 1039.3505 ]
 [ 268.96368 1035.4376 ]]"
142,0.99439096,"[[ 409.7469  1016.41095]
 [ 457.48438 1016.41095]
 [ 457.48438 1038.2906 ]
 [ 409.7469  1038.2906 ]]"
143,0.9348887,"[[ 135.25626 1036.3015 ]
 [ 163.10312 1036.3015 ]
 [ 163.10312 1058.1813 ]
 [ 135.25626 1058.1813 ]]"
144,0.95716256,"[[ 322.64172 1038.4482 ]
 [ 355.33322 1035.1791 ]
 [ 357.4011  1055.8573 ]
 [ 324.70956 1059.1265 ]]"
145,0.92215466,"[[ 199.39539 1036.8887 ]
 [ 240.10594 1040.5895 ]
 [ 238.05165 1063.1864 ]
 [ 197.3411  1059.4856 ]]"
146,1.0141507,"[[ 240.67656 1038.2906 ]
 [ 296.3703  1038.2906 ]
 [ 296.3703  1060.1703 ]
 [ 240.67656 1060.1703 ]]"
147,0.9126587,"[[ 298.35938 1038.2906 ]
 [ 322.22812 1038.2906 ]
 [ 322.22812 1058.1813 ]
 [ 298.35938 1058.1813 ]]"
148,0.8253998,"[[ 358.03125 1038.2906 ]
 [ 375.9328  1038.2906 ]
 [ 375.9328  1056.1921 ]
 [ 358.03125 1056.1921 ]]"
149,0.9134031,"[[ 377.92188 1038.2906 ]
 [ 413.725   1038.2906 ]
 [ 413.725   1058.1813 ]
 [ 377.92188 1058.1813 ]]"
150,0.94769555,"[[ 453.91782 1037.3304 ]
 [ 492.76627 1040.5677 ]
 [ 491.05157 1061.1443 ]
 [ 452.20312 1057.907  ]]"
151,1.0117497,"[[  83.54063 1040.2797 ]
 [ 135.25626 1040.2797 ]
 [ 135.25626 1062.1594 ]
 [  83.54063 1062.1594 ]]"
152,0.87108773,"[[ 163.10312 1040.2797 ]
 [ 192.93906 1040.2797 ]
 [ 192.93906 1060.1703 ]
 [ 163.10312 1060.1703 ]]"
153,0.9655618,"[[ 415.71405 1042.2688 ]
 [ 451.51718 1042.2688 ]
 [ 451.51718 1058.1813 ]
 [ 415.71405 1058.1813 ]]"
154,0.94392645,"[[ 186.97188 1062.1594 ]
 [ 224.76407 1062.1594 ]
 [ 224.76407 1082.05   ]
 [ 186.97188 1082.05   ]]"
155,0.9654674,"[[ 226.75313 1062.1594 ]
 [ 268.52344 1062.1594 ]
 [ 268.52344 1084.0391 ]
 [ 226.75313 1084.0391 ]]"
156,0.9506884,"[[ 348.08594 1062.1594 ]
 [ 387.8672  1062.1594 ]
 [ 387.8672  1082.05   ]
 [ 348.08594 1082.05   ]]"
157,0.8868082,"[[ 270.5125 1064.1484]
 [ 296.3703 1064.1484]
 [ 296.3703 1084.0391]
 [ 270.5125 1084.0391]]"
158,0.97655827,"[[ 298.35938 1064.1484 ]
 [ 344.10782 1064.1484 ]
 [ 344.10782 1084.0391 ]
 [ 298.35938 1084.0391 ]]"
159,0.95817566,"[[ 151.16875 1086.0281 ]
 [ 196.91719 1086.0281 ]
 [ 196.91719 1105.9187 ]
 [ 151.16875 1105.9187 ]]"
160,0.9934651,"[[ 192.93906 1086.0281 ]
 [ 252.61093 1086.0281 ]
 [ 252.61093 1105.9187 ]
 [ 192.93906 1105.9187 ]]"
161,1.0209581,"[[ 252.28716 1088.0645 ]
 [ 375.88232 1085.5421 ]
 [ 376.30133 1106.0737 ]
 [ 252.70618 1108.5961 ]]"
162,0.9321434,"[[ 377.92188 1086.0281 ]
 [ 419.6922  1086.0281 ]
 [ 419.6922  1103.9297 ]
 [ 377.92188 1103.9297 ]]"
163,0.9530537,"[[ 324.2172  1129.7875 ]
 [ 356.04218 1129.7875 ]
 [ 356.04218 1153.6562 ]
 [ 324.2172  1153.6562 ]]"
